Time,F_Scale,Location,County,State,Lat,Lon,Comments
0158,UNK,2 SW STE. MARIE,JASPER,IL,38.91,-88.05,*** 3 FATAL... 8 INJ *** PATH LENGTH 27.7 MILES IN ILLINOIS AND ANOTHER 13.15 MILES IN INDIANA. MAX WIDTH IN ILLINOIS 0.4 MILES AND PEAK WIND SPEED 150 MPH. TIME ON THE (ILX)
0201,UNK,2 SSW WHEELER,PORTER,IN,41.49,-87.2,AN NWS DAMAGE SURVEY DETERMINED A BRIEF EF-0 TORNADO WITH PEAK WINDS OF 70 MPH WINDS... WIDTH OF 125 YARDS... AND LENGTH OF 0.6 MILES TOUCHED DOWN IN PORTER COUNTY. A G (LOT)
0213,UNK,5 ESE ROBINSON,CRAWFORD,IL,39.01,-87.72,CORRECTS PREVIOUS TORNADO REPORT FROM 1 E ROBINSON. TORNADO A HALF MILE SOUTH OF THE INTERSECTION OF HIGHWAY 1 AND 33 EAST SIDE OF ROBINSON. TWO HOMES DESTROYED AND POW (ILX)
0213,UNK,4 NNW LAKE CICOTT,CASS,IN,40.82,-86.55,CORRECTS PREVIOUS TORNADO REPORT FROM 4 NNW LAKE CICOTT. TORNADO BEGAN HERE AND TRAVELED 1.7 MILES NORTHEAST... ENDING 3 MILES SSW ROYAL CENTER. MAXIMUM WIDTH WAS 300 Y (IWX)
0221,UNK,2 ENE TURTLE CREEK RESE,SULLIVAN,IN,39.07,-87.5,*** 3 FATAL *** A LARGE... SIGNIFICANT TORNADO BEGAN WEST OF SULLIVAN... AND CONTINUED EAST FOR NEARLY 9 MILES... HITTING THE SOUTHERN PORTIONS OF SULLIVAN. MAXIMUM WID (IND)
0243,UNK,2 SSW COLFAX,BOONE,IN,40.17,-86.69,AN EF0 TORNADO WAS ON THE GROUND FOR APPROXIMATELY 1.77 MILES. A BARN ON THE BOONE/MONTGOMERY COUNTY LINE WAS PARTIALLY DESTROYED. DEBRIS WAS THROWN 1/4 OF A MILE. THER (IND)
0245,UNK,1 SE COLFAX,CLINTON,IN,40.18,-86.65,TORNADO BEGAN AT THIS POINT ENDING SW OF FRANKFORT FOR A TOTAL DISTANCE OF 6.79 MILES. THE MAX WIDTH OF THE TORNADO WAS 100 YARDS. (IND)
0301,UNK,1 ENE MCCORMICKS CREEK,OWEN,IN,39.29,-86.73,*** 2 FATAL... 2 INJ *** EF3 TORNADO BEGAN WITHIN MCCORMICKS CREEK STATE PARK AND CONTINUED ENE... ENDING NORTH OF STINESVILLE. TOTAL PATH LENGTH WAS 4 MILES WITH A MAX (IND)
0302,UNK,2 S RANKIN,VERMILION,IL,40.44,-87.9,FARMSTEAD WITH HEAVY DAMAGE AT IL-49 AND 3900 N RD. (ILX)
0310,UNK,4 NE MCLEMORESVILLE,CARROLL,TN,36.03,-88.54,A BRIEF TORNADO FORMED ALONG HIGHWAY 436... PRODUCING MINOR DAMAGE TO HOMES AND TREES. (MEG)
0311,UNK,1 S RUSSIAVILLE,HOWARD,IN,40.4,-86.27,TORNADO BEGAN HERE... ENDING 0.86 MILES AWAY SW OF RUSSIAVILLE. MAX TORNADO WIDTH WAS 10 YARDS. (IND)
0312,UNK,3 SW MARTINSVILLE,MORGAN,IN,39.39,-86.46,EF2 TORNADO BEGAN SW OF MARTINSVILLE AND CONTINUED ENE FOR 8.6 MILES. MAXIMUM WIDTH WAS 200 YARDS. (IND)
0319,UNK,3 ENE PARIS,HENRY,TN,36.31,-88.26,TREES AND POWER POLES DOWN AT GREEN HILLS ESTATE AND HWY 218. TIME ESTIMATED BY RADAR. (MEG)
0320,UNK,4 NE SHARPSVILLE,HOWARD,IN,40.42,-86.02,*** 1 INJ *** TORNADO BEGAN HERE TRAVELING 6.41 MILES NE ENDING SE OF GREENTOWN. MAXIMUM WIDTH OF TORNADO WAS 25 YARDS. (IND)
0327,UNK,2 SSW BARGERSVILLE,JOHNSON,IN,39.5,-86.17,TORNADO BEGAN NEAR THE TOWN OF PROVIDENCE... ENDING SE OF BARGERSVILLE FOR A TOTAL LENGTH OF 1.93 MILES. MAXIMUM WIDTH ALONG PATH WAS 25 YARDS. (IND)
0329,UNK,4 ESE VALE,BENTON,TN,36.1,-88.19,A BRIEF EF0 TORNADO PRODUCED MINOR DAMAGE ALONG CEDAR GROVE CHURCH ROAD. (MEG)
0333,UNK,1 SW WHITELAND,JOHNSON,IN,39.53,-86.11,3.5 MILE LONG TORNADO TRACKED THROUGH SOUTHERN PORTIONS OF WHITELAND ENDING NEAR I-65 EAST OF WHITELAND. MAXIMUM WIDTH ALONG PATH WAS 316 YARDS. (IND)
0333,UNK,1 W SWAYZEE,GRANT,IN,40.51,-85.84,TORNADO BEGAN HERE AND QUICKLY TRAVELED EAST 3.1 MILES THROUGH DOWNTOWN SWAYZEE BEFORE ENDING 1 SSE HERBST. MAXIMUM WIDTH WAS 150 YARDS. (IWX)
0336,UNK,3 N NEW HAVEN,ALLEN,IN,41.11,-85.03,TORNADO BEGAN HERE AND TRAVELED NORTHEAST FOR 7.9 MILES... ENDING 1 MILE SOUTH OF HARLAN INDIANA. MAXIMUM WIDTH WAS 400 YARDS. (IWX)
0342,UNK,1 ESE GAS CITY,GRANT,IN,40.48,-85.59,TORNADO BEGAN HERE AND TRAVELED RAPIDLY NORTHEAST 6.4 MILES... ENDING NEAR ARCANA. MAXIMUM WIDTH WAS 200 YARDS. (IWX)
0344,UNK,1 E HARLAN,ALLEN,IN,41.2,-84.9,TORNADO BEGAN HERE AND TRAVELED 1.1 MILES NORTHEAST... ENDING 2 MILES SOUTH OF GEORGETOWN. MAXIMUM WIDTH WAS 75 YARDS. (IWX)
0353,UNK,3 NE ANTWERP,PAULDING,OH,41.21,-84.7,CORRECTS PREVIOUS TORNADO REPORT FROM 3 NE ANTWERP. TORNADO BEGAN HERE AND TRAVELED 0.8 MILES NORTH... ENDING 3 NE ANTWERP. MAXIMUM WIDTH WAS 150 YARDS. (IWX)
0422,UNK,4 SW BETHEL SPRINGS,MCNAIRY,TN,35.19,-88.66,CORRECTS PREVIOUS TORNADO REPORT FROM 4 SW BETHEL SPRINGS. POWER LINES KNOCKED DOWN AND GUARDRAILS THROWN IN THE ROAD. NUMEROUS TREES ARE DOWN CLOSE TO SKY BLUE LANE. (MEG)
0425,UNK,2 WSW PICKWICK DAM,HARDIN,TN,35.03,-88.28,(MEG)
0430,UNK,2 E ANCHORAGE,JEFFERSON,KY,38.27,-85.5,DELAYED REPORT FROM APRIL 1ST. THE NATIONAL WEATHER SERVICE IN LOUISVILLE CONDUCTED A STORM SURVEY AND FOUND DAMAGE IN NORTHEASTERN JEFFERSON COUNTY AND NORTHWESTERN SH (LMK)
0435,UNK,2 NE ADAMSVILLE,HARDIN,TN,35.26,-88.36,ONE HOUSE NEAR ADAMSVILLE HAD ITS ROOF TORN OFF. (MEG)
0435,UNK,2 N ADAMSVILLE,MCNAIRY,TN,35.26,-88.39,*** 9 FATAL *** ADAMSVILLE... TN TORNADO EF-3. (MEG)
0445,UNK,2 N OSGOOD,MERCER,OH,40.37,-84.5,80 MPH EF0 TORNADO CONFIRMED NEAR MINSTER OH. (ILN)
0445,UNK,5 NNW ST. MARYS,AUGLAIZE,OH,40.6,-84.44,85 MPH EF0 TORNADO CONFIRMED NORTH OF ST MARYS OH. (ILN)
0447,UNK,1 ENE NEW PARIS,PREBLE,OH,39.86,-84.78,AN EF0 BRIEFLY TOUCHED DOWN IN NEW PARIS... OH... CAUSING SCATTERED TREE DAMAGE AND STRUCTURAL DAMAGE TO SEVERAL BARNS. MAXIMUM ESTIMATED WINDS WERE 85 MPH. (ILN)
0454,UNK,3 SW WAPAKONETA,AUGLAIZE,OH,40.53,-84.23,*** 7 INJ *** A TORNADO TOUCHED DOWN JUST SOUTHWEST OF WAPAKONETA AND TRAVELED NORTHEAST BEFORE DISSIPATING NEAR THE AUGLAIZE/ALLEN COUNTY LINE. MAXIMUM WINDS WERE ESTI (ILN)
0456,UNK,2 SSW CLIFTON,WAYNE,TN,35.35,-88.01,*** 2 INJ *** THIS LONG-TRACK TORNADO ENTERED WAYNE COUNTY AROUND 2 MILES SOUTH OF CLIFTON AND CONTINUED NORTHEAST... PASSING ACROSS HIGHWAY 641 NEAR TOM HOLT ROAD WHER (OHX)
0501,UNK,4 WSW PLEASANT HILL,MIAMI,OH,40.02,-84.41,85 MPH EF0 TORNADO CONFIRMED NEAR TROY OH. (ILN)
0502,UNK,2 WSW POTSDAM,DARKE,OH,39.95,-84.45,80 MPH EF0 TORNADO CONFIRMED WEST OF WEST MILTON OH. (ILN)
0546,UNK,5 NNE BLUE SPRINGS,UNION,MS,34.46,-88.83,AN EF2 TORNADO MOVED ALONG A 16 MILE TRACK THROUGH EASTERN UNION AND NORTHERN LEE COUNTIES. THE MOST SIGNIFICANT DAMAGE OCCURRED OFF OF COUNTY ROAD 2720 IN NORTHERN LEE (MEG)
0553,UNK,7 ENE HARTSVILLE,TROUSDALE,TN,36.42,-86.05,THIS EF1 TORNADO TOUCHED DOWN ABOUT 100 YARDS SOUTHWEST OF PUMPKIN BRANCH ROAD IN TROUSDALE COUNTY. DAMAGES FOUND AS IT TRAVELED NORTHEAST INTO MACON COUNTY WERE PRIMAR (OHX)
0554,UNK,5 E SYCAMORE,CRAWFORD,OH,40.96,-83.07,A TORNADO TOUCHED DOWN 5 MILES ENE OF SYCAMORE AND LIFTED 4 MILES WEST OF CHATFIELD. THE TORNADO DAMAGED THE ROOF OF A BARN NEAR CR 100. AS THE STORM MOVED EAST... A LA (CLE)
0610,UNK,PONTOTOC,PONTOTOC,MS,34.25,-89.01,SEVERAL HOMES WERE DAMAGED IN THE 10TH STREET AREA OF PONTOTOC. TREES WERE BLOWN DOWN AND POWER POLES WERE DAMAGED. (MEG)
0616,UNK,4 NW CHAPEL HILL,MARSHALL,TN,35.66,-86.75,THIS EF1 TORNADO TOUCHED DOWN 4 MILES NORTHWEST OF CHAPEL HILL NEAR MOSS ROAD IN NORTHERN MARSHALL COUNTY. MOVING NORTHEAST... THE TORNADO BLEW DOWN SEVERE TREES AND CA (OHX)
0628,UNK,2 SSE TUPELO,LEE,MS,34.23,-88.72,AN EF1 TORNADO WITH MAXIMUM ESTIMATED WINDS OF 110 MPH DAMAGED TREES AND HOMES ALONG A 3 MILE PATH. CONSIDERABLE DAMAGE WAS NOTED TO SEVERAL LARGE BUILDINGS ALONG GREEN (MEG)
0630,UNK,1 WNW GOLDEN,TISHOMINGO,MS,34.49,-88.2,AN EF0 TORNADO CAUSED MINOR STRUCTURAL AND TREE DAMAGE IN GOLDEN. MAXIMUM ESTIMATED WINDS WERE 85 MPH. (MEG)
0637,UNK,6 N RED BAY,FRANKLIN,AL,34.53,-88.14,A TORNADO DEBRIS SIGNATURE (TDS) WAS DETECTED ON GWX RADAR. (HUN)
0641,UNK,7 S MURFREESBORO,RUTHERFORD,TN,35.76,-86.38,*** 2 INJ *** CORRECTS PREVIOUS TORNADO REPORT FROM 7 S MURFREESBORO. THIS STRONG EF2 TORNADO TOUCHED DOWN 6 MILES SOUTH OF DOWNTOWN MURFREESBORO NEAR COUNTY FARM ROAD. (OHX)
0732,UNK,3 SSW HACKLEBURG,MARION,AL,34.24,-87.85,*** 1 INJ *** 3 SSW HACKLEBURG TO 1 SSW PEBBLE. 17.05 MILE DAMAGE PATH AND 675 YARDS WIDE AT ITS WIDEST POINT. ONE MANUFACTURED HOME WAS ROLLED OVER AND A MAN WAS INJUR (BMX)
0744,UNK,1 E BEAR CREEK,MARION,AL,34.26,-87.69,*** 1 INJ *** MOBILE HOME OVERTURNED ON FRANKS RD. TDS ON RADAR. (BMX)
0809,UNK,4 NNW HAZEL GREEN,MADISON,AL,34.98,-86.58,A TORNADO DEBRIS SIGNATURE (TDS) WAS DETECTED ON HTX RADAR. (HUN)
0817,UNK,11 SSE FAYETTEVILLE,LINCOLN,TN,34.99,-86.49,A NATIONAL WEATHER SERVICE AND LINCOLN COUNTY EMA DAMAGE ASSESSMENT TEAM FOUND EVIDENCE OF AN EF3 TORNADO IN SOUTHEASTERN LINCOLN COUNTY. (HUN)
0951,UNK,2 WNW SARDIS CITY,ETOWAH,AL,34.18,-86.15,*** 2 INJ *** AN EF0 TORNADO DOWNED TREES AND DAMAGED STRUCTURES IN SARDIS CITY. (BMX)
1135,UNK,2 NNW WOODSTOCK,CHEROKEE,GA,34.12,-84.53,TORNADO CONFIRMED ON DREAM CATCHER DR. TWO TREES SNAPPED. EF RATING AND PATH CURRENTLY BEING ASSESSED. (FFC)
