Time,Speed,Location,County,State,Lat,Lon,Comments
2241,UNK,MEDIAPOLIS,DES MOINES,IA,41.01,-91.17,5 HOUSES MISSING ROOFS; TRAMPOLINE IN A TREE WITH CONSIDERABLE OTHER DAMAGE. TIME ESTIMATED FROM RADAR. (DVN)
2242,59,BURLINGTON REGIONAL AIR,DES MOINES,IA,40.78,-91.13,ASOS. (DVN)
2245,70,HIAWATHA,LINN,IA,42.05,-91.68,ALSO PEA SIZED HAIL. (DVN)
2252,81,1 N ROZETTA,HENDERSON,IL,40.96,-90.86,ALSO PEA SIZED HAIL. (DVN)
2300,UNK,BRIGHTON,TIPTON,TN,35.48,-89.74,LARGE TREES DOWN NEAR AKINS STORE ROAD AND HIGHWAY 51. (MEG)
2300,UNK,4 SW ELEANOR,WARREN,IL,40.94,-90.75,CORRECTS THE TIME OF THE TSTM WND DMG REPORT FROM 4 SW ELEANOR. TOPS SNAPPED OUT OF TREES. ESTIMATED WINDS OF 70 TO 75 MPH. (DVN)
2300,UNK,SEATON,MERCER,IL,41.1,-90.8,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM SEATON. DAMAGE SEEMED MORE SEVERE THAN STRAIGHT LINE WINDS... MISSING SHINGLES... DESTROYED AND DAMAGED OUTBUILDINGS ON THE O (DVN)
2301,65,1 ENE BURLINGTON REGION,DES MOINES,IA,40.79,-91.11,ESTIMATED WINDS OF 60 TO 70 MPH. (DVN)
2301,UNK,GUTTENBERG,CLAYTON,IA,42.79,-91.1,TREES DAMAGED. (ARX)
2305,58,2 WSW ROCK ISLAND,ROCK ISLAND,IL,41.46,-90.61,I280 AT JUMERS. (DVN)
2306,UNK,7 WNW MOUNT ENTERPRISE,RUSK,TX,31.97,-94.79,REPORTS OF TREES DOWN JUST EAST OF LANEVILLE NEAR FM ROAD 2496 AT COUNTY ROAD 3162... FM ROAD 2496 NEAR FM ROAD 1798... AND ALONG COUNTY ROAD 3163. (SHV)
2309,58,CAPITAL AIRPORT,SANGAMON,IL,39.84,-89.68,CORRECTED TIME OF WIND GUST AT SPRINGFIELD AIRPORT. (ILX)
2310,UNK,1 N LELAND GROVE,SANGAMON,IL,39.79,-89.68,DELAYED REPORT. LARGE TREE DOWN NEAR WASHINGTON PARK. TIME ESTIMATED. (ILX)
2310,UNK,2 SW DELAVAN,TAZEWELL,IL,40.35,-89.57,POWER POLE AND LINES BLOWN DOWN AT 1817 MORRIS MILL ROAD. (ILX)
2310,UNK,WASHINGTON,TAZEWELL,IL,40.7,-89.41,POWER LINES AND TREE BLOWN DOWN ON ROAD AT 22219 GROSENBACH RD. (ILX)
2310,UNK,1 ESE CORALVILLE,JOHNSON,IA,41.68,-91.58,POSS TORNADO MULTIPLE BUILDINGS DOWN... COMMERCIAL BUILDINGS SOME APTS MISSING ROOFS. (DVN)
2311,UNK,2 S EDMORE,DUBUQUE,IA,42.53,-90.68,POWER LINES AND TREES DOWN AT INTERSECTION OF 32ND ST AND PERU ROAD. (DVN)
2317,UNK,SINSINAWA,GRANT,WI,42.53,-90.54,TREE BLOWN DOWN ACROSS A ROAD. (ARX)
2318,73,LORE,DUBUQUE,IA,42.52,-90.8,WIND DATA CAPTURED FROM OBSERVATION EQUIPMENT. DOWNED TREE AT LOCATION WAS 6IN DIAMETER. OTHER LARGE BRANCHES DOWN. (DVN)
2319,63,4 ENE COVINGTON,TIPTON,TN,35.59,-89.59,MESONET STATION TT531 COVINGTON. (MEG)
2320,UNK,WOODHULL,HENRY,IL,41.18,-90.32,ROOF OFF OF A BARN WITH DAMAGE TO OUTBUILDINGS. (DVN)
2322,UNK,4 SW ELEANOR,WARREN,IL,40.94,-90.75,TOPS SNAPPED OUT OF TREES. ESTIMATED WINDS OF 70 TO 75 MPH. (DVN)
2327,60,1 S FESTUS,JEFFERSON,MO,38.21,-90.4,SPOTTER WAS SOUTH OF EXIT 175 OFF OF I-55 AND ESTIMATED WINDS APPROACHED 60 MPH. (LSX)
2330,UNK,1 E DUBUQUE,DUBUQUE,IA,42.51,-90.67,LARGE TREE BLOWN DOWN. (DVN)
2334,UNK,CAMBRIDGE,HENRY,IL,41.31,-90.19,POSSIBLE TORNADO... NEAR CEMETERY. WINDS GUSTING UP TO 50 MPH. DIME SIZE HAIL. (DVN)
2336,UNK,3 NNE ATKINSON,HENRY,IL,41.46,-90,TORNADO POSSIBLE... DETACHED GARAGE DAMAGED. SEVERAL TREE LIMBS DOWN... ONE WINDOW BROKEN IN THE HOMES. DAMAGE TO FARM OUTBUILDINGS. TIME OF THE EVENT ESTIMATED USING R (DVN)
2339,63,N STANFORD,MCLEAN,IL,40.44,-89.22,(ILX)
2342,UNK,6.5 E ALTONA,KNOX,IL,41.09,-90.16,POWER POLE BLOWN DOWN AND TREE UPROOTED IN THE GALVA CEMETERY ALONG HWY 17. (ILX)
2342,UNK,3 SSE MOUNT CARROLL,CARROLL,IL,42.05,-89.95,POWER POLES DOWN. POSSIBLE TORNADO DAMAGE. (DVN)
2345,UNK,REWEY,IOWA,WI,42.84,-90.4,REPORTS OF A FARM SHED DOWN AND POWERLINES DOWN. (MKX)
2347,65,LATHAM,LOGAN,IL,39.97,-89.16,(ILX)
2348,UNK,BLOOMINGTON,MCLEAN,IL,40.48,-88.99,LARGE TREES BLOWN DOWN AT 1642 OLIVE STREET IN BLOOMINGTON. (ILX)
2348,UNK,2 SE DAVENPORT,SCOTT,IA,41.54,-90.57,80MPH WINDS 13TH AND MAIN IN DAVENPORT BRANCHES DOWN... POWER POLE BENT AT 30 DEGREE ANGLE... STORM WINDOW KNOCKED IN TO BEDROOM. (DVN)
2350,UNK,BELMONT,LAFAYETTE,WI,42.74,-90.34,REPORTS OF MULTIPLE TREES DOWN. (MKX)
2352,UNK,4 S SHANNON,CARROLL,IL,42.1,-89.74,DAMAGE TO HOMES FROM POSSIBLE TORNADO. (DVN)
2353,UNK,4 NNW NEW BEDFORD,BUREAU,IL,41.57,-89.75,MULTIPLE OUTBUILDINGS AND A DETACHED GARAGE DOWN WITH SIDING DAMAGE TO A HOUSE. TIME ESTIMATED FROM RADAR. (DVN)
2356,60,CUBA CITY,GRANT,WI,42.6,-90.43,(ARX)
